"metric","value","skript","data_sha","seed","datum"
"vhodnost_2_n_A2",288,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"vhodnost_2_podil_A2",0.1541,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"vhodnost_3_n_A2",748,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"vhodnost_3_podil_A2",0.4002,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"vhodnost_4_n_A2",822,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"vhodnost_4_podil_A2",0.4398,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"vhodnost_prumer_A2",3.2739,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"plocha_bez_dopadu_A2",70,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"plocha_bez_vhodnosti_A2",69,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"plna_bez_dopadu_A2",0,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"chybi_dopad_A2",70,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"komentar_jazykovy_n_A2",348,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"komentar_plocha_n_A2",92,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"komentar_dalsi_n_A2",258,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"otazniky_n_A2",145,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"tema_strojovy_preklad_n_A2",46,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"plocha_s_komentarem_A2",83,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"median_znaku_popis",664,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"median_znaku_anamneza",478,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"median_znaku_reseni",610,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"median_znaku_vystup",410,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_n",629,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_presna",0.9793,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_presna_ci_lo",0.9682,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_presna_ci_hi",0.9905,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_kappa",0.7689,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_kappa_ci_lo",0.6378,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_kappa_ci_hi",0.8794,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_alpha",0.769,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_alpha_ci_lo",0.6375,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_alpha_ci_hi",0.8795,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_ac1",0.9773,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_ac1_ci_lo",0.9638,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_kvalita_ac1_ci_hi",0.9896,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_n",603,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_presna",0.8109,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_presna_ci_lo",0.7778,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_presna_ci_hi",0.8408,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_kappa",0.6875,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_kappa_ci_lo",0.6349,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_kappa_ci_hi",0.7368,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_alpha",0.6874,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_alpha_ci_lo",0.6344,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_alpha_ci_hi",0.7367,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_ac1",0.7291,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_ac1_ci_lo",0.6799,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_dopad_ac1_ci_hi",0.7738,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_n",603,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_presna",0.5788,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_presna_ci_lo",0.5423,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_presna_ci_hi",0.6202,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_pm1",0.9801,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_wkappa",0.5188,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_wkappa_ci_lo",0.455,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_wkappa_ci_hi",0.5826,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_alpha_ord",0.5009,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_alpha_ord_ci_lo",0.4409,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_alpha_ord_ci_hi",0.5651,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_ac1",0.4729,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_ac2",0.8705,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_ac1_ci_lo",0.4253,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_ac1_ci_hi",0.5243,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_A2_vyssi",149,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_A12_vyssi",105,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_prumer_A12",3.3035,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_prumer_A2",3.3715,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_rozdil_prumer",0.068,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_rozdil_ci_lo",0.01,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"shoda_vhodnost_rozdil_ci_hi",0.1227,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"plny_kvalita_n",693,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
