case_uid,anotator,segment,adjudikovano,kvalita,kvalita_cervenec,zmena_kvalita,dopad,dopad_cervenec,zmena_dopad,vhodnost,vhodnost_cervenec,zmena_vhodnost
exp2906,A12,beze_zmeny,0,Plná,Plná,0.0,Neúspěch,Neúspěch,0.0,2.0,2.0,0.0
exp2905,A12,zmeneno,1,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,3.0,1.0
exp2904,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2903,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2902,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,2.0,2.0,0.0
exp2901,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2900,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2899,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2898,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2897,A12,beze_zmeny,1,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2896,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2895,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2894,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,2.0,2.0,0.0
exp2893,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2892,A12,zmeneno,1,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,4.0,3.0,1.0
exp2891,A12,zmeneno,1,Plná,Plná,0.0,Dlouhodobý úspěch,Krátkodobý úspěch,1.0,3.0,3.0,0.0
exp2890,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2889,A12,beze_zmeny,0,Plná,Plná,0.0,Neúspěch,Neúspěch,0.0,2.0,2.0,0.0
exp2888,A12,beze_zmeny,0,Plná,Plná,0.0,Neúspěch,Neúspěch,0.0,2.0,2.0,0.0
exp2887,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,2.0,2.0,0.0
exp2886,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2885,A12,beze_zmeny,0,Plná,Plná,0.0,Neúspěch,Neúspěch,0.0,2.0,2.0,0.0
exp2884,A12,zmeneno,1,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,4.0,2.0,1.0
exp2883,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,2.0,2.0,0.0
exp2882,A12,beze_zmeny,0,Plná,Plná,0.0,Neúspěch,Neúspěch,0.0,2.0,2.0,0.0
exp2881,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2880,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2879,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2878,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2877,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2876,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,2.0,2.0,0.0
exp2875,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2874,A12,beze_zmeny,1,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,2.0,2.0,0.0
exp2873,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2872,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2871,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,2.0,2.0,0.0
exp2870,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,2.0,2.0,0.0
exp2869,A12,beze_zmeny,1,Plochá,Plochá,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2868,A12,zmeneno,1,Plná,Plná,0.0,Neúspěch,Neúspěch,0.0,3.0,2.0,1.0
exp2867,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2866,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2865,A12,beze_zmeny,0,Plná,Plná,0.0,Neúspěch,Neúspěch,0.0,3.0,3.0,0.0
exp2864,A12,zmeneno,1,Plná,Plochá,1.0,Neúspěch,Neúspěch,0.0,2.0,2.0,0.0
exp2863,A12,beze_zmeny,1,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,4.0,4.0,0.0
exp2862,A12,zmeneno,1,Plná,Plná,0.0,Neúspěch,Neúspěch,0.0,3.0,2.0,1.0
exp2861,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2860,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,2.0,2.0,0.0
exp2859,A12,zmeneno,1,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,3.0,1.0
exp2858,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2857,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2856,A12,beze_zmeny,1,Plochá,Plochá,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2855,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2854,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,2.0,2.0,0.0
exp2853,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2852,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2851,A12,beze_zmeny,0,Plná,Plná,0.0,Neúspěch,Neúspěch,0.0,3.0,3.0,0.0
exp2850,A12,beze_zmeny,1,Plochá,Plochá,0.0,Neúspěch,Neúspěch,0.0,1.0,1.0,0.0
exp2849,A12,zmeneno,1,Plná,Plná,0.0,Dlouhodobý úspěch,Krátkodobý úspěch,1.0,2.0,2.0,0.0
exp2848,A12,beze_zmeny,1,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2847,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2846,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2845,A12,beze_zmeny,0,Plná,Plná,0.0,Neúspěch,Neúspěch,0.0,3.0,3.0,0.0
exp2844,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2843,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2842,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2841,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2840,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,2.0,2.0,0.0
exp2839,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2838,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2837,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2836,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2835,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2834,A12,zmeneno,1,Plná,Plná,0.0,Neúspěch,Neúspěch,0.0,4.0,3.0,1.0
exp2833,A12,zmeneno,1,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,2.0,1.0
exp2832,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2831,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2830,A12,beze_zmeny,1,Plochá,Plochá,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2829,A12,beze_zmeny,1,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,2.0,2.0,0.0
exp2828,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2827,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2825,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
